date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:37:04	170/170	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/templates/parallax-template/js/init.js	D:/books/Materialize/materializecss.com/templates/parallax-template/js/init.js	(from http://materializecss.com/templates/parallax-template/preview.html)
07:37:06	16135/16135	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/index.html	D:/books/Materialize/materializecss.com/index-2.html	(from http://materializecss.com/parallax-demo.html)
07:37:08	298716/298716	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/dist/js/materialize.js	D:/books/Materialize/materializecss.com/dist/js/materialize.js	(from http://materializecss.com/templates/parallax-template/preview.html)
07:37:18	187207/187207	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/templates/parallax-template/background2.jpg	D:/books/Materialize/materializecss.com/templates/parallax-template/background2.jpg	(from http://materializecss.com/templates/parallax-template/preview.html)
07:37:19	176006/176006	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/templates/parallax-template/background3.jpg	D:/books/Materialize/materializecss.com/templates/parallax-template/background3.jpg	(from http://materializecss.com/templates/parallax-template/preview.html)
07:37:22	21659/21659	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Thin.eot	D:/books/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Thin.eot	(from http://materializecss.com/dist/css/materialize.min.css)
07:37:26	21659/21659	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Thin.eot?	D:/books/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Thind41d.eot	(from http://materializecss.com/dist/css/materialize.min.css)
07:37:27	48524/48524	---M--	200	added ('OK')	application/font-woff2	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Thin.woff2	D:/books/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Thin.woff2	(from http://materializecss.com/dist/css/materialize.min.css)
07:37:31	152695/152695	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/images/parallax2.jpg	D:/books/Materialize/materializecss.com/images/parallax2.jpg	(from http://materializecss.com/parallax-demo.html)
07:37:36	20940/20940	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Light.eot	D:/books/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Light.eot	(from http://materializecss.com/dist/css/materialize.min.css)
07:37:37	61628/61628	---M--	200	added ('OK')	application/font-woff	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Thin.woff	D:/books/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Thin.woff	(from http://materializecss.com/dist/css/materialize.min.css)
07:37:37	204638/204638	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/images/parallax1.jpg	D:/books/Materialize/materializecss.com/images/parallax1.jpg	(from http://materializecss.com/parallax-demo.html)
07:37:38	127584/127584	---MCZ	200	added ('OK')	application/x-font-ttf	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Thin.ttf	D:/books/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Thin.ttf	(from http://materializecss.com/dist/css/materialize.min.css)
07:37:41	20940/20940	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Light.eot?	D:/books/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Lightd41d.eot	(from http://materializecss.com/dist/css/materialize.min.css)
07:37:45	21320/21320	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/dist/fonts/roboto/Roboto-Regular.eot	D:/books/Materialize/materializecss.com/dist/fonts/roboto/Roboto-Regular.eot	(from http://materializecss.com/dist/css/materialize.min.css)
